title,audienceRating,contentRating,duration,durationHuman,rating,studio,tagline,year,media.audioChannels,media.bitrate,media.hdr,media.videoCodec,media.videoFrameRate,media.videoResolution,media.width
Monsters vs. Aliens,5.9,PG,5671616,1 hr 35 mins,7.4,DreamWorks Animation,"When aliens attack, monsters fight back.",2009,6,9655,FALSE,h264,24p,1080,1912
"Monsters, Inc.",9,G,5528657,1 hr 32 mins,9.6,Pixar,We Scare Because We Care.,2001,8,6092,FALSE,hevc,24p,1080,1920
Mr. Bean's Holiday,4.9,G,5374837,1 hr 30 mins,5.1,Universal Pictures,Disaster is just a small step away.,2007,6,2225,FALSE,hevc,24p,1080,1920
Mulan,8.5,G,5270482,1 hr 28 mins,8.5,Walt Disney Pictures,Going your own way requires the greatest courage.,1998,6,5006,FALSE,hevc,24p,1080,1816
MVP 2: Most Vertical Primate,3.8,G,5198250,1 hr 27 mins,,Keystone Family Pictures,The Most Valuable Primate Has Just Gone Vertical!,2001,6,2723,FALSE,h264,24p,1080,1920
MVP: Most Valuable Primate,4.1,PG,5568944,1 hr 33 mins,,Keystone Family Pictures,Jack skates a little faster... Shoots a little harder... And is driving everyone bananas.,2000,6,2723,FALSE,h264,24p,1080,1920
National Lampoon's Christmas Vacation,8.6,PG-13,5831296,1 hr 37 mins,6.8,Warner Bros. Pictures,Yule crack up.,1989,2,4357,FALSE,hevc,24p,1080,1920
The NeverEnding Story,8.1,PG,5644639,1 hr 34 mins,8.2,WDR,A boy who needs a friend finds a world that needs a hero in a land beyond imagination!,1984,6,2224,FALSE,hevc,24p,1080,1920
The NeverEnding Story II: The Next Chapter,4,PG,5391432,1 hr 30 mins,1.4,Warner Bros. Pictures,Begin an all new adventure as a young boy returns to a world of wonder on the wings of his imagination.,1990,2,2223,FALSE,hevc,24p,1080,1920
The NeverEnding Story III,2.6,G,5471049,1 hr 31 mins,,Miramax,It's a brand new beginning in the adventure that never ends,1994,2,2225,FALSE,hevc,PAL,1080,1920
Newsies,8.8,PG,7295870,2 hrs 2 mins,3.9,Walt Disney Pictures,A Thousand Voices. A Single Dream.,1992,6,4856,FALSE,hevc,24p,1080,1920
The Nightmare Before Christmas,9.1,PG,4599933,1 hr 17 mins,9.5,Walt Disney Pictures,"This is Halloween, everybody make a scene!",1993,8,7363,FALSE,hevc,24p,1080,1800
Oliver & Company,6.2,G,4423465,1 hr 14 mins,5.4,Walt Disney Pictures,The first Disney movie with attitude.,1988,6,2220,FALSE,hevc,24p,1080,1920
One Hundred and One Dalmatians,7.6,G,4756969,1 hr 19 mins,9.8,Walt Disney Productions,The Canine Caper of the Century,1961,6,2225,FALSE,hevc,24p,1080,1440
Onward,9.5,PG,6141478,1 hr 42 mins,8.8,Walt Disney Pictures,Their quest begineth.,2020,8,6261,FALSE,hevc,24p,1080,1920
Osmosis Jones,4.2,PG,5722800,1 hr 35 mins,5.6,Warner Bros. Pictures,Every BODY needs a hero,2001,2,4269,FALSE,hevc,24p,1080,1920
Over the Hedge,7.1,PG,5010677,1 hr 24 mins,7.5,DreamWorks Animation,Taking back the neighborhood... One snack at a time.,2006,6,2225,FALSE,hevc,24p,1080,1920
The Pacifier,5.8,PG,5720787,1 hr 35 mins,2.1,Walt Disney Pictures,Welcome to the infantry.,2005,6,2224,FALSE,hevc,24p,1080,1920
The Parent Trap,7,PG,7686995,2 hrs 8 mins,8.6,Walt Disney Pictures,"Twice the Fun, Double the Trouble.",1998,6,5477,FALSE,hevc,24p,1080,1920
Pee-wee's Big Adventure,7.9,PG,5487529,1 hr 31 mins,8.7,Warner Bros. Pictures,The story of a rebel and his bike.,1985,6,2223,FALSE,hevc,24p,1080,1908
Penguins of Madagascar,6.3,PG,5509546,1 hr 32 mins,7.4,Pacific Data Images,The Movie Event That Will Blow Their Cover,2014,6,2224,FALSE,hevc,24p,1080,1920
Pete's Dragon,7.2,PG,6165535,1 hr 43 mins,8.8,Whitaker Entertainment,Some secrets are too big to keep.,2016,6,2225,FALSE,hevc,24p,1080,1920
Peter Pan,8,G,4606527,1 hr 17 mins,7.9,Walt Disney Productions,It will live in your heart forever!,1953,6,2224,FALSE,hevc,24p,1080,1440
The Pink Panther,5.1,PG,5565602,1 hr 33 mins,2.1,Columbia Pictures,Pardon His French.,2006,6,2223,FALSE,hevc,24p,1080,1920
The Pink Panther 2,4.2,PG,5521812,1 hr 32 mins,1.3,Columbia Pictures,Inspect the unexpected.,2009,6,2223,FALSE,hevc,24p,1080,1920
Pinocchio,7.3,G,5264297,1 hr 28 mins,10,Walt Disney Productions,"When you wish upon a star, your dreams come true.",1940,6,2225,FALSE,hevc,24p,1080,1452
Pocahontas,6.4,G,4868787,1 hr 21 mins,5.5,Walt Disney Pictures,An American legend comes to life.,1995,6,2224,FALSE,hevc,24p,1080,1920
Pokémon: Detective Pikachu,7.9,PG,6269097,1 hr 44 mins,6.8,Legendary Pictures,Partner Up!,2019,8,6608,FALSE,hevc,24p,1080,1920
The Polar Express,6.3,G,5996531,1 hr 40 mins,5.6,Castle Rock Entertainment,This holiday season... believe.,2004,6,4660,FALSE,hevc,24p,1080,1920
Power Rangers,6.5,PG-13,7438528,2 hrs 4 mins,5.1,Lionsgate,Together we are more.,2017,6,7088,FALSE,hevc,24p,1080,1920
The Powerpuff Girls Movie,6,PG,4426784,1 hr 14 mins,6.4,Village Roadshow Pictures,Saving the world before bedtime!,2002,6,9249,FALSE,h264,24p,1080,1920
The Prince of Egypt,9,PG,5951014,1 hr 39 mins,8,DreamWorks Pictures,The Power Is Real.,1998,6,4430,FALSE,hevc,24p,1080,1920
The Princess and the Frog,7.4,G,5847762,1 hr 37 mins,8.5,Walt Disney Pictures,Every love story begins with a kiss...,2009,6,4490,FALSE,hevc,24p,1080,1920
The Princess Diaries,6.8,G,6928222,1 hr 55 mins,4.9,Walt Disney Pictures,She rocks. She rules. She reigns.,2001,6,2224,FALSE,hevc,24p,1080,1920
The Princess Diaries 2: Royal Engagement,5.9,G,6793162,1 hr 53 mins,2.6,Walt Disney Pictures,It can take a lifetime to find true love; she's got 30 days!,2004,6,2225,FALSE,hevc,24p,1080,1920
Puss in Boots,6.7,PG,5414575,1 hr 30 mins,8.6,DreamWorks Animation,Live for danger. Fight for justice. Pray for mercy.,2011,8,4884,FALSE,hevc,24p,1080,1920
Race to Witch Mountain,4.4,PG,5897982,1 hr 38 mins,4.2,Walt Disney Pictures,The race is on.,2009,6,2223,FALSE,hevc,24p,1080,1920
Ralph Breaks the Internet,6.4,PG,6751187,1 hr 53 mins,8.8,Walt Disney Pictures,Who Broke the Internet?,2018,8,4937,FALSE,hevc,24p,1080,1920
Ratatouille,8.7,G,6633468,1 hr 51 mins,9.6,Walt Disney Pictures,He's dying to become a chef.,2007,6,4474,FALSE,hevc,24p,1080,1920
Ratchet & Clank,4.2,PG,5647400,1 hr 34 mins,2.1,Cinema Management Group,Kick Some Asteroid.,2016,6,2223,FALSE,hevc,24p,1080,1920
Raya and the Last Dragon,9.7,PG,6449214,1 hr 47 mins,9.4,Walt Disney Pictures,A quest to save her world.,2021,8,6658,FALSE,hevc,24p,1080,1920
Real Steel,7.3,PG-13,7610688,2 hrs 7 mins,6,DreamWorks Pictures,"If you get one shot, make it real.",2011,6,7914,FALSE,hevc,24p,1080,1920
The Rescuers,6.8,G,4633844,1 hr 17 mins,8.1,Walt Disney Productions,Two tiny agents vs. the world's wickedest woman in a dazzling animated adventure!,1977,6,2224,FALSE,hevc,24p,1080,1792
The Rescuers Down Under,6.8,G,4628339,1 hr 17 mins,7.1,Walt Disney Pictures,Hang On For The Most Thrilling Ride Of Your Life!,1990,6,2224,FALSE,hevc,24p,1080,1806
Return to Oz,7.1,PG,6596670,1 hr 50 mins,5.4,Silver Screen Partners II,An all-new adventure down the yellow brick road.,1985,6,2222,FALSE,hevc,24p,1080,1920
Richie Rich,3.2,PG,5668905,1 hr 34 mins,2.6,Warner Bros. Pictures,An adventure so big... even the world's richest kid can't afford to miss it!,1994,6,2224,FALSE,hevc,24p,1080,1916
The Road to El Dorado,6.6,PG,5389224,1 hr 30 mins,4.8,DreamWorks Pictures,They came for the gold. They stayed for the adventure.,2000,6,4444,FALSE,hevc,24p,1080,1920
Robin Hood,8.1,G,4982025,1 hr 23 mins,5.5,Walt Disney Productions,Meet Robin Hood and his MERRY MENagerie!,1973,6,2225,FALSE,hevc,24p,1080,1796
The Santa Clause,6.5,PG,5828349,1 hr 37 mins,7.3,Walt Disney Pictures,What if your dad was Santa Claus?,1994,6,6246,FALSE,hevc,24p,1080,1920
The Santa Clause 2,4.2,G,6262269,1 hr 44 mins,5.6,Walt Disney Pictures,What's Christmas Fun without some Reindeer Games?,2002,6,6418,FALSE,hevc,24p,1080,1920
The Santa Clause 3: The Escape Clause,3.9,G,5516840,1 hr 32 mins,1.7,Walt Disney Pictures,'Twas the Fight Before Christmas...,2006,6,5776,FALSE,hevc,24p,1080,1920
School of Rock,6.4,PG-13,6556286,1 hr 49 mins,9.2,Paramount,He just landed the gig of his life: 5th grade.,2003,6,3806,FALSE,hevc,24p,1080,1920
Scooby-Doo,3.9,PG,5194857,1 hr 27 mins,3.2,Mosaic Media Group,Be afraid. Be kind of afraid.,2002,6,2224,FALSE,hevc,24p,1080,1908
Scooby-Doo 2: Monsters Unleashed,4,PG,5570282,1 hr 33 mins,2.2,Warner Bros. Pictures,Doo the Fright Thing.,2004,6,2224,FALSE,hevc,24p,1080,1920
The Secret Life of Pets,6.2,PG,5187198,1 hr 26 mins,7.2,Universal Pictures,Think this is what they do all day?,2016,8,6766,FALSE,hevc,24p,1080,1920
The Secret Life of Pets 2,9,PG,5163539,1 hr 26 mins,6,Universal Pictures,They still have their secrets.,2019,8,5565,FALSE,hevc,24p,1080,1920
The Shaggy Dog,3.9,PG,5915785,1 hr 39 mins,2.6,Walt Disney Pictures,It's going to be a ruff day.,2006,6,2224,FALSE,hevc,24p,1080,1920
Shaun the Sheep Movie,8.1,PG,5125971,1 hr 25 mins,9.9,Aardman Animations,Moving on to Pastures New.,2015,6,5880,FALSE,hevc,24p,1080,1920
A Shaun the Sheep Movie: Farmageddon,8,G,5207337,1 hr 27 mins,9.6,Aardman Animations,Close encounters of the furred kind.,2019,8,3840,FALSE,hevc,24p,1080,1920
Shrek,9,PG,5408486,1 hr 30 mins,8.8,DreamWorks Pictures,The greatest fairy tale never told.,2001,8,5773,FALSE,hevc,24p,1080,1920
Shrek 2,6.9,PG,5543379,1 hr 32 mins,8.9,DreamWorks Pictures,Once upon another time...,2004,8,5927,FALSE,hevc,24p,1080,1920
Shrek Forever After,5.4,PG,5590584,1 hr 33 mins,5.7,DreamWorks Animation,It ain't Ogre... Til it's Ogre,2010,8,5747,FALSE,hevc,24p,1080,1920
Shrek the Third,5.2,PG,5567853,1 hr 33 mins,4.1,Pacific Data Images,He’s in for the Royal Treatment.,2007,8,5627,FALSE,hevc,24p,1080,1920
Sing,7.2,PG,6473512,1 hr 48 mins,7.1,Universal Pictures,Auditions begin 2016.,2016,8,7627,FALSE,hevc,24p,1080,1920
Sing 2,9.8,PG,6589587,1 hr 50 mins,7.2,Universal Pictures,Where will your dreams take you?,2021,8,8279,FALSE,hevc,24p,1080,1920
The Sisterhood of the Traveling Pants,7.8,PG,7120155,1 hr 59 mins,7.7,Di Novi Pictures,Laugh. Cry. Share the pants.,2005,6,2224,FALSE,hevc,24p,1080,1920
Sky High,5.7,PG,5969075,1 hr 39 mins,7.3,Walt Disney Pictures,Saving The World... One Homework Assignment At A Time.,2005,6,2225,FALSE,hevc,24p,1080,1920
Sleeping Beauty,8,G,4510132,1 hr 15 mins,8.9,Walt Disney Productions,Awaken to a World of Wonders!,1959,6,2225,FALSE,hevc,24p,1080,1920
Small Soldiers,4.5,PG-13,6587687,1 hr 50 mins,4.9,DreamWorks Pictures,Big Movie.,1998,6,5601,FALSE,hevc,24p,1080,1920
Snow White and the Seven Dwarfs,7.8,G,4991284,1 hr 23 mins,9.8,Walt Disney Productions,"The Happiest, Dopiest, Grumpiest, Sneeziest movie of the year.",1938,6,2225,FALSE,hevc,24p,1080,1448
Sonic the Hedgehog,9.3,PG,5933181,1 hr 39 mins,6.3,Paramount,A whole new speed of hero.,2020,8,5638,FALSE,hevc,24p,1080,1920
Sonic the Hedgehog 2,9.6,PG,7339090,2 hrs 2 mins,6.9,Paramount,Welcome to the next level.,2022,8,7701,FALSE,hevc,24p,1080,1920
Soul,8.8,PG,6033874,1 hr 41 mins,9.5,Walt Disney Pictures,Is all this living really worth dying for?,2020,8,6507,FALSE,hevc,24p,1080,1920
Space Jam,6.3,PG,5240360,1 hr 27 mins,4.3,Warner Bros. Pictures,"Together, they just might save the world.",1996,6,7780,FALSE,hevc,24p,1080,1908
Space Jam: A New Legacy,7.9,PG,6931262,1 hr 56 mins,2.6,Warner Bros. Pictures,Welcome to the Jam!,2021,8,7631,FALSE,hevc,24p,1080,1920
Spirit Untamed,9.5,PG,5261053,1 hr 28 mins,4.9,Universal Pictures,Adventure awaits.,2021,8,5288,FALSE,hevc,24p,1080,1920
The SpongeBob Movie: Sponge on the Run,5,PG,5491006,1 hr 32 mins,6.7,Paramount,They're Not in Bikini Bottom Anymore.,2020,6,5638,FALSE,hevc,24p,1080,1920
The SpongeBob Movie: Sponge Out of Water,5.4,PG,5554494,1 hr 33 mins,8.1,Paramount,He's leaving his world behind.,2015,6,4526,FALSE,hevc,24p,1080,1920
The SpongeBob SquarePants Movie,7.8,PG,5229501,1 hr 27 mins,6.8,Paramount,Bigger. Better. More absorbent.,2004,6,5107,FALSE,hevc,24p,1080,1920
Spy Kids,4.6,PG,5450578,1 hr 31 mins,9.3,Miramax,Real spies...only smaller,2001,6,4296,FALSE,hevc,24p,1080,1920
Spy Kids 2: Island of Lost Dreams,3.9,PG,6018001,1 hr 40 mins,7.5,Dimension Films,Little Spies. Big Attitudes.,2002,6,8626,FALSE,hevc,24p,1080,1920
Spy Kids 3: Game Over,2.5,PG,4957095,1 hr 23 mins,4.5,Dimension Films,3rd Mission. 3rd Dimension.,2003,6,7210,FALSE,hevc,24p,1080,1920
Spy Kids 4: All the Time in the World,3.7,PG,5265150,1 hr 28 mins,2.3,Dimension Films,Saving the world is their idea of family time,2011,6,5062,FALSE,hevc,24p,1080,1920
Stuart Little,4.1,PG,5076117,1 hr 25 mins,6.7,Columbia Pictures,The Little family just got bigger.,1999,6,2223,FALSE,hevc,24p,1080,1920
Stuart Little 2,4.1,G,4662707,1 hr 18 mins,8.1,Columbia Pictures,A Little goes a long way.,2002,6,2223,FALSE,hevc,24p,1080,1920
Super Mario Bros.,2.9,PG,6282584,1 hr 45 mins,2.8,Hollywood Pictures,This Ain't No Game.,1993,6,2223,FALSE,hevc,24p,1080,1920
Surf's Up,7,PG,5131175,1 hr 26 mins,7.9,Columbia Pictures,"In the coldest place on Earth, he's the hottest thing around.",2007,6,5633,FALSE,hevc,24p,1080,1920
Tangled,8.7,PG,6017193,1 hr 40 mins,8.9,Walt Disney Pictures,They're taking adventure to new lengths.,2010,8,5478,FALSE,hevc,24p,1080,1920
Tarzan,7.5,G,5311358,1 hr 29 mins,8.9,Walt Disney Pictures,An immortal legend. As you've only imagined.,1999,5,4462,FALSE,hevc,24p,1080,1920
Teenage Mutant Ninja Turtles,8.1,PG,5614656,1 hr 34 mins,4.1,New Line Cinema,"Hey dude, this is NO cartoon.",1990,6,8479,FALSE,hevc,24p,1080,1920
Teenage Mutant Ninja Turtles,5,PG-13,6078099,1 hr 41 mins,2.1,Paramount,Mysterious. Dangerous. Reptilious. You've never seen heroes like this.,2014,6,2221,FALSE,hevc,24p,1080,1920
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,6.7,PG,5319220,1 hr 29 mins,3.5,New Line Cinema,"Cowabunga, it's the new turtle movie.",1991,6,8436,FALSE,hevc,24p,1080,1920
Teenage Mutant Ninja Turtles III,3.4,PG,5755328,1 hr 36 mins,1.9,New Line Cinema,The Turtles Are Back....In Time.,1993,6,8274,FALSE,hevc,24p,1080,1920
Teenage Mutant Ninja Turtles: Out of the Shadows,4.6,PG-13,6727699,1 hr 52 mins,3.7,Paramount,Raise some shell.,2016,6,2224,FALSE,hevc,24p,1080,1920
TMNT,6,PG,5211072,1 hr 27 mins,3.5,Warner Bros. Pictures,A Whole New Breed of Heroes.,2007,6,5998,FALSE,hevc,24p,1080,1912
Tom & Jerry,8.2,PG,6064808,1 hr 41 mins,3,Warner Bros. Pictures,Best of enemies. Worst of friends.,2021,8,7711,FALSE,hevc,24p,1080,1920
Toy Story,9.2,G,4863527,1 hr 21 mins,10,Pixar,"""Oooh...3-D"" (USA 2009 re-release)",1995,6,6667,FALSE,hevc,24p,1080,1920
Toy Story 2,8.7,G,5545510,1 hr 32 mins,10,Pixar,The toys are back!,1999,6,5690,FALSE,hevc,24p,1080,1920
Toy Story 3,9,G,6153425,1 hr 43 mins,9.8,Walt Disney Pictures,No toy gets left behind.,2010,8,5839,FALSE,hevc,24p,1080,1920
Toy Story 4,9.4,G,6003538,1 hr 40 mins,9.7,Walt Disney Pictures,Get Ready to Hit the Road,2019,8,6783,FALSE,hevc,24p,1080,1920
The Transformers: The Movie,8.8,PG,5095762,1 hr 25 mins,6.2,De Laurentiis Entertainment Group,Beyond good. Beyond evil. Beyond your wildest imagination.,1986,6,6092,FALSE,hevc,24p,1080,1440
Treasure Planet,7.2,PG,5723943,1 hr 35 mins,6.9,Walt Disney Pictures,Find your place in the universe.,2002,6,5364,FALSE,hevc,24p,1080,1820
Trolls,6.7,PG,5546985,1 hr 32 mins,7.5,DreamWorks Animation,Find your happy place.,2016,8,5501,FALSE,hevc,24p,1080,1920
Trolls 2: World Tour,5.8,PG,5443965,1 hr 31 mins,7.1,Universal Pictures,Happiest. Movie. Ever.,2020,8,6323,FALSE,hevc,24p,1080,1920
Turning Red,7.2,PG,5980797,1 hr 40 mins,9.5,Walt Disney Pictures,Growing up is a beast.,2022,8,6167,FALSE,hevc,24p,1080,1920
Up,9,PG,5767634,1 hr 36 mins,9.8,Pixar,Fly Up to Venezuela,2009,7,5637,FALSE,hevc,24p,1080,1920
Wallace & Gromit: A Close Shave,9.2,TV-G,1885649,31 mins,10,Aardman Animations,From the Oscar-winning creator of A Grand Day Out and The Wrong Trousers.,1995,6,4210,FALSE,hevc,24p,1080,1798
Wallace & Gromit: A Grand Day Out,9.1,Not Rated,1437394,24 mins,,Aardman Animations,From the Oscar-winning creator of The Wrong Trousers.,1990,6,4469,FALSE,hevc,24p,1080,1436
Wallace & Gromit: A Matter of Loaf and Death,7.7,G,1812562,30 mins,,Aardman Animations,,2008,6,4036,FALSE,hevc,24p,1080,1920
Wallace & Gromit: The Curse of the Were-Rabbit,7.9,G,5099815,1 hr 25 mins,9.5,Aardman Animations,Something bunny is going on...,2005,6,7161,FALSE,hevc,24p,1080,1920
Wallace & Gromit: The Wrong Trousers,9.2,TV-G,1819900,30 mins,10,Aardman Animations,From the Oscar-winning creator of Creature Comforts and A Grand Day Out.,1993,6,4034,FALSE,hevc,24p,1080,1436
WALL·E,9,G,5892050,1 hr 38 mins,9.5,Walt Disney Pictures,"After 700 years of doing what he was built for, he'll discover what he was meant for.",2008,6,4478,FALSE,hevc,24p,1080,1920
Watership Down,8.6,PG,5535782,1 hr 32 mins,7.9,AVCO Embassy Pictures,"All the world will be your enemy, Prince with a Thousand Enemies, and when they catch you, they will kill you... but first they must catch you.",1978,2,2224,FALSE,hevc,24p,1080,1920
Who Framed Roger Rabbit,8.5,PG,6225874,1 hr 44 mins,9.7,Amblin Entertainment,"It's the story of a man, a woman, and a rabbit in a triangle of trouble.",1988,6,9014,FALSE,hevc,24p,1080,1920
Willy Wonka & the Chocolate Factory,8.7,G,5985362,1 hr 40 mins,9.1,David L. Wolper Productions,It's Scrumdidilyumptious!,1971,6,6563,FALSE,hevc,24p,1080,1920
The Wizard,5.9,PG,6020062,1 hr 40 mins,2.7,Universal Pictures,They're on a cross-country adventure to the world's greatest video championship. It's more than a game...it's the chance of a lifetime.,1989,2,2224,FALSE,hevc,24p,1080,1920
The Wizard of Oz,8.9,G,6105468,1 hr 42 mins,9.8,Metro-Goldwyn-Mayer,"We're off to see the Wizard, the wonderful Wizard of Oz!",1939,6,6499,TRUE,hevc,24p,1080,1480
Wreck-It Ralph,8.6,PG,6073608,1 hr 41 mins,8.7,Walt Disney Pictures,The story of a regular guy just looking for a little wreck-ognition.,2012,6,2225,FALSE,hevc,24p,1080,1920
Zootopia,9.2,PG,6512446,1 hr 49 mins,9.8,Walt Disney Pictures,Welcome to the urban jungle.,2016,8,5364,FALSE,hevc,24p,1080,1920
